
Cell Cytoplasm Intensity Mean Ch=3 Img=1
 ==================== 
Cell Cytoplasm Intensity Mean,Unit,Category,Channel,Image,Time,ID,
338.917,,Cell,3,Image 1,1,0,
131.987,,Cell,3,Image 1,1,1,
76.278,,Cell,3,Image 1,1,2,
140.419,,Cell,3,Image 1,1,3,
133.402,,Cell,3,Image 1,1,4,
177.725,,Cell,3,Image 1,1,5,
528.589,,Cell,3,Image 1,1,6,
105.757,,Cell,3,Image 1,1,7,
122.399,,Cell,3,Image 1,1,8,
114.761,,Cell,3,Image 1,1,9,
177.364,,Cell,3,Image 1,1,10,
242.147,,Cell,3,Image 1,1,11,
115.406,,Cell,3,Image 1,1,12,
183.921,,Cell,3,Image 1,1,13,
173.350,,Cell,3,Image 1,1,14,
418.265,,Cell,3,Image 1,1,15,
147.233,,Cell,3,Image 1,1,16,
138.045,,Cell,3,Image 1,1,17,
111.767,,Cell,3,Image 1,1,18,
147.692,,Cell,3,Image 1,1,19,
133.759,,Cell,3,Image 1,1,20,
150.552,,Cell,3,Image 1,1,21,
153.419,,Cell,3,Image 1,1,22,
126.135,,Cell,3,Image 1,1,23,
83.969,,Cell,3,Image 1,1,24,
167.253,,Cell,3,Image 1,1,25,
112.201,,Cell,3,Image 1,1,26,
126.020,,Cell,3,Image 1,1,27,
104.593,,Cell,3,Image 1,1,28,
108.117,,Cell,3,Image 1,1,29,
115.667,,Cell,3,Image 1,1,30,
128.481,,Cell,3,Image 1,1,31,
411.944,,Cell,3,Image 1,1,32,
105.743,,Cell,3,Image 1,1,33,
171.147,,Cell,3,Image 1,1,34,
109.790,,Cell,3,Image 1,1,35,
89.842,,Cell,3,Image 1,1,36,
340.503,,Cell,3,Image 1,1,37,
114.362,,Cell,3,Image 1,1,38,
91.086,,Cell,3,Image 1,1,39,
106.159,,Cell,3,Image 1,1,40,
88.107,,Cell,3,Image 1,1,41,
80.439,,Cell,3,Image 1,1,42,
112.053,,Cell,3,Image 1,1,43,
107.481,,Cell,3,Image 1,1,44,
126.724,,Cell,3,Image 1,1,45,
108.134,,Cell,3,Image 1,1,46,
289.406,,Cell,3,Image 1,1,47,
106.149,,Cell,3,Image 1,1,48,
148.152,,Cell,3,Image 1,1,49,
202.916,,Cell,3,Image 1,1,50,
61.252,,Cell,3,Image 1,1,51,
70.014,,Cell,3,Image 1,1,52,
91.603,,Cell,3,Image 1,1,53,
395.069,,Cell,3,Image 1,1,54,
130.390,,Cell,3,Image 1,1,55,
114.911,,Cell,3,Image 1,1,56,
98.472,,Cell,3,Image 1,1,57,
94.891,,Cell,3,Image 1,1,58,
102.232,,Cell,3,Image 1,1,59,
113.469,,Cell,3,Image 1,1,60,
197.061,,Cell,3,Image 1,1,61,
106.928,,Cell,3,Image 1,1,62,
156.559,,Cell,3,Image 1,1,63,
86.038,,Cell,3,Image 1,1,64,
83.539,,Cell,3,Image 1,1,65,
319.186,,Cell,3,Image 1,1,66,
117.565,,Cell,3,Image 1,1,67,
96.682,,Cell,3,Image 1,1,68,
76.972,,Cell,3,Image 1,1,69,
345.327,,Cell,3,Image 1,1,70,
186.606,,Cell,3,Image 1,1,71,
292.696,,Cell,3,Image 1,1,72,
55.425,,Cell,3,Image 1,1,73,
163.619,,Cell,3,Image 1,1,74,
122.400,,Cell,3,Image 1,1,75,
90.137,,Cell,3,Image 1,1,76,
227.103,,Cell,3,Image 1,1,77,
120.782,,Cell,3,Image 1,1,78,
253.617,,Cell,3,Image 1,1,79,
172.460,,Cell,3,Image 1,1,80,
119.162,,Cell,3,Image 1,1,81,
110.916,,Cell,3,Image 1,1,82,
204.751,,Cell,3,Image 1,1,83,
132.866,,Cell,3,Image 1,1,84,
195.799,,Cell,3,Image 1,1,85,
261.156,,Cell,3,Image 1,1,86,
119.626,,Cell,3,Image 1,1,87,
126.551,,Cell,3,Image 1,1,88,
103.793,,Cell,3,Image 1,1,89,
157.385,,Cell,3,Image 1,1,90,
172.372,,Cell,3,Image 1,1,91,
82.636,,Cell,3,Image 1,1,92,
320.355,,Cell,3,Image 1,1,93,
187.784,,Cell,3,Image 1,1,94,
119.394,,Cell,3,Image 1,1,95,
111.462,,Cell,3,Image 1,1,96,
151.516,,Cell,3,Image 1,1,97,
94.687,,Cell,3,Image 1,1,98,
454.960,,Cell,3,Image 1,1,99,
122.261,,Cell,3,Image 1,1,100,
198.293,,Cell,3,Image 1,1,101,
204.773,,Cell,3,Image 1,1,102,
140.963,,Cell,3,Image 1,1,103,
161.851,,Cell,3,Image 1,1,104,
119.316,,Cell,3,Image 1,1,105,
153.707,,Cell,3,Image 1,1,106,
76.021,,Cell,3,Image 1,1,107,
377.619,,Cell,3,Image 1,1,108,
138.005,,Cell,3,Image 1,1,109,
84.678,,Cell,3,Image 1,1,110,
123.654,,Cell,3,Image 1,1,111,
213.711,,Cell,3,Image 1,1,112,
129.618,,Cell,3,Image 1,1,113,
142.419,,Cell,3,Image 1,1,114,
144.485,,Cell,3,Image 1,1,115,
158.248,,Cell,3,Image 1,1,116,
111.834,,Cell,3,Image 1,1,117,
106.072,,Cell,3,Image 1,1,118,
137.502,,Cell,3,Image 1,1,119,
126.745,,Cell,3,Image 1,1,120,
149.056,,Cell,3,Image 1,1,121,
120.813,,Cell,3,Image 1,1,122,
110.920,,Cell,3,Image 1,1,123,
139.664,,Cell,3,Image 1,1,124,
127.015,,Cell,3,Image 1,1,125,
180.072,,Cell,3,Image 1,1,126,
111.866,,Cell,3,Image 1,1,127,
136.089,,Cell,3,Image 1,1,128,
106.657,,Cell,3,Image 1,1,129,
115.997,,Cell,3,Image 1,1,130,
112.801,,Cell,3,Image 1,1,131,
160.438,,Cell,3,Image 1,1,132,
334.266,,Cell,3,Image 1,1,133,
290.924,,Cell,3,Image 1,1,134,
271.594,,Cell,3,Image 1,1,135,
149.109,,Cell,3,Image 1,1,136,
153.752,,Cell,3,Image 1,1,137,
182.807,,Cell,3,Image 1,1,138,
138.326,,Cell,3,Image 1,1,139,
138.416,,Cell,3,Image 1,1,140,
110.361,,Cell,3,Image 1,1,141,
211.332,,Cell,3,Image 1,1,142,
148.571,,Cell,3,Image 1,1,143,
208.049,,Cell,3,Image 1,1,144,
237.718,,Cell,3,Image 1,1,145,
138.452,,Cell,3,Image 1,1,146,
133.249,,Cell,3,Image 1,1,147,
161.357,,Cell,3,Image 1,1,148,
178.808,,Cell,3,Image 1,1,149,
110.486,,Cell,3,Image 1,1,150,
279.925,,Cell,3,Image 1,1,151,
97.491,,Cell,3,Image 1,1,152,
150.418,,Cell,3,Image 1,1,153,
144.699,,Cell,3,Image 1,1,154,
188.137,,Cell,3,Image 1,1,155,
133.812,,Cell,3,Image 1,1,156,
137.141,,Cell,3,Image 1,1,157,
100.126,,Cell,3,Image 1,1,158,
107.540,,Cell,3,Image 1,1,159,
119.160,,Cell,3,Image 1,1,160,
180.443,,Cell,3,Image 1,1,161,
140.376,,Cell,3,Image 1,1,162,
146.057,,Cell,3,Image 1,1,163,
145.824,,Cell,3,Image 1,1,164,
167.358,,Cell,3,Image 1,1,165,
119.400,,Cell,3,Image 1,1,166,
155.923,,Cell,3,Image 1,1,167,
145.949,,Cell,3,Image 1,1,168,
95.864,,Cell,3,Image 1,1,169,
145.368,,Cell,3,Image 1,1,170,
140.015,,Cell,3,Image 1,1,171,
133.228,,Cell,3,Image 1,1,172,
175.783,,Cell,3,Image 1,1,173,
255.010,,Cell,3,Image 1,1,174,
139.294,,Cell,3,Image 1,1,175,
142.233,,Cell,3,Image 1,1,176,
154.322,,Cell,3,Image 1,1,177,
131.974,,Cell,3,Image 1,1,178,
142.518,,Cell,3,Image 1,1,179,
136.852,,Cell,3,Image 1,1,180,
125.935,,Cell,3,Image 1,1,181,
82.902,,Cell,3,Image 1,1,182,
129.804,,Cell,3,Image 1,1,183,
222.473,,Cell,3,Image 1,1,184,
131.182,,Cell,3,Image 1,1,185,
287.145,,Cell,3,Image 1,1,186,
148.401,,Cell,3,Image 1,1,187,
123.602,,Cell,3,Image 1,1,188,
157.668,,Cell,3,Image 1,1,189,
125.440,,Cell,3,Image 1,1,190,
263.723,,Cell,3,Image 1,1,191,
159.974,,Cell,3,Image 1,1,192,
169.901,,Cell,3,Image 1,1,193,
180.484,,Cell,3,Image 1,1,194,
170.859,,Cell,3,Image 1,1,195,
234.014,,Cell,3,Image 1,1,196,
126.452,,Cell,3,Image 1,1,197,
112.973,,Cell,3,Image 1,1,198,
210.505,,Cell,3,Image 1,1,199,
118.306,,Cell,3,Image 1,1,200,
130.486,,Cell,3,Image 1,1,201,
305.260,,Cell,3,Image 1,1,202,
161.483,,Cell,3,Image 1,1,203,
448.297,,Cell,3,Image 1,1,204,
103.437,,Cell,3,Image 1,1,205,
106.400,,Cell,3,Image 1,1,206,
146.509,,Cell,3,Image 1,1,207,
133.107,,Cell,3,Image 1,1,208,
157.161,,Cell,3,Image 1,1,209,
159.411,,Cell,3,Image 1,1,210,
197.834,,Cell,3,Image 1,1,211,
112.263,,Cell,3,Image 1,1,212,
112.964,,Cell,3,Image 1,1,213,
174.596,,Cell,3,Image 1,1,214,
178.269,,Cell,3,Image 1,1,215,
125.273,,Cell,3,Image 1,1,216,
123.166,,Cell,3,Image 1,1,217,
141.181,,Cell,3,Image 1,1,218,
163.140,,Cell,3,Image 1,1,219,
169.499,,Cell,3,Image 1,1,220,
208.225,,Cell,3,Image 1,1,221,
98.108,,Cell,3,Image 1,1,222,
111.760,,Cell,3,Image 1,1,223,
384.458,,Cell,3,Image 1,1,224,
160.330,,Cell,3,Image 1,1,225,
120.223,,Cell,3,Image 1,1,226,
179.071,,Cell,3,Image 1,1,227,
91.705,,Cell,3,Image 1,1,228,
129.681,,Cell,3,Image 1,1,229,
59.433,,Cell,3,Image 1,1,230,
149.018,,Cell,3,Image 1,1,231,
93.204,,Cell,3,Image 1,1,232,
115.816,,Cell,3,Image 1,1,233,
122.336,,Cell,3,Image 1,1,234,
142.347,,Cell,3,Image 1,1,235,
151.194,,Cell,3,Image 1,1,236,
143.152,,Cell,3,Image 1,1,237,
160.215,,Cell,3,Image 1,1,238,
126.548,,Cell,3,Image 1,1,239,
173.227,,Cell,3,Image 1,1,240,
105.542,,Cell,3,Image 1,1,241,
366.714,,Cell,3,Image 1,1,242,
113.620,,Cell,3,Image 1,1,243,
115.421,,Cell,3,Image 1,1,244,
117.435,,Cell,3,Image 1,1,245,
437.799,,Cell,3,Image 1,1,246,
96.499,,Cell,3,Image 1,1,247,
