
Vesicles Foci Intensity Center Ch=5 Img=1
 ==================== 
Vesicles Foci Intensity Center,Unit,Category,Channel,Image,Time,CellID,ID,
0.000,,Vesicles Foci,5,Image 1,1,2,200242661,
0.000,,Vesicles Foci,5,Image 1,1,3,200242662,
0.000,,Vesicles Foci,5,Image 1,1,4,200242663,
0.000,,Vesicles Foci,5,Image 1,1,10,200242664,
0.000,,Vesicles Foci,5,Image 1,1,10,200242665,
0.000,,Vesicles Foci,5,Image 1,1,11,200242666,
0.000,,Vesicles Foci,5,Image 1,1,14,200242667,
0.000,,Vesicles Foci,5,Image 1,1,16,200242668,
0.000,,Vesicles Foci,5,Image 1,1,17,200242669,
0.000,,Vesicles Foci,5,Image 1,1,17,200242670,
0.000,,Vesicles Foci,5,Image 1,1,18,200242671,
0.000,,Vesicles Foci,5,Image 1,1,20,200242672,
0.000,,Vesicles Foci,5,Image 1,1,23,200242673,
0.000,,Vesicles Foci,5,Image 1,1,25,200242674,
0.000,,Vesicles Foci,5,Image 1,1,27,200242675,
0.000,,Vesicles Foci,5,Image 1,1,28,200242676,
0.000,,Vesicles Foci,5,Image 1,1,30,200242677,
0.000,,Vesicles Foci,5,Image 1,1,31,200242678,
0.000,,Vesicles Foci,5,Image 1,1,34,200242679,
0.000,,Vesicles Foci,5,Image 1,1,36,200242680,
0.000,,Vesicles Foci,5,Image 1,1,37,200242681,
0.000,,Vesicles Foci,5,Image 1,1,39,200242682,
0.000,,Vesicles Foci,5,Image 1,1,41,200242683,
0.000,,Vesicles Foci,5,Image 1,1,42,200242684,
0.000,,Vesicles Foci,5,Image 1,1,44,200242685,
0.000,,Vesicles Foci,5,Image 1,1,46,200242686,
0.000,,Vesicles Foci,5,Image 1,1,46,200242687,
0.000,,Vesicles Foci,5,Image 1,1,47,200242688,
0.000,,Vesicles Foci,5,Image 1,1,52,200242689,
0.000,,Vesicles Foci,5,Image 1,1,57,200242690,
0.000,,Vesicles Foci,5,Image 1,1,59,200242691,
0.000,,Vesicles Foci,5,Image 1,1,61,200242692,
0.000,,Vesicles Foci,5,Image 1,1,62,200242693,
0.000,,Vesicles Foci,5,Image 1,1,63,200242694,
0.000,,Vesicles Foci,5,Image 1,1,64,200242695,
0.000,,Vesicles Foci,5,Image 1,1,65,200242696,
0.000,,Vesicles Foci,5,Image 1,1,83,200242697,
0.000,,Vesicles Foci,5,Image 1,1,85,200242698,
0.000,,Vesicles Foci,5,Image 1,1,88,200242699,
0.000,,Vesicles Foci,5,Image 1,1,89,200242700,
0.000,,Vesicles Foci,5,Image 1,1,91,200242701,
0.000,,Vesicles Foci,5,Image 1,1,92,200242702,
0.000,,Vesicles Foci,5,Image 1,1,94,200242703,
0.000,,Vesicles Foci,5,Image 1,1,95,200242704,
0.000,,Vesicles Foci,5,Image 1,1,96,200242705,
0.000,,Vesicles Foci,5,Image 1,1,97,200242706,
0.000,,Vesicles Foci,5,Image 1,1,97,200242707,
0.000,,Vesicles Foci,5,Image 1,1,107,200242708,
0.000,,Vesicles Foci,5,Image 1,1,108,200242709,
0.000,,Vesicles Foci,5,Image 1,1,113,200242710,
0.000,,Vesicles Foci,5,Image 1,1,116,200242711,
0.000,,Vesicles Foci,5,Image 1,1,118,200242712,
0.000,,Vesicles Foci,5,Image 1,1,119,200242713,
