
Vesicles Foci Intensity Center Ch=5 Img=1
 ==================== 
Vesicles Foci Intensity Center,Unit,Category,Channel,Image,Time,CellID,ID,
0.000,,Vesicles Foci,5,Image 1,1,119,200242714,
0.000,,Vesicles Foci,5,Image 1,1,120,200242715,
0.000,,Vesicles Foci,5,Image 1,1,120,200242716,
0.000,,Vesicles Foci,5,Image 1,1,122,200242717,
0.000,,Vesicles Foci,5,Image 1,1,123,200242718,
0.000,,Vesicles Foci,5,Image 1,1,126,200242719,
0.000,,Vesicles Foci,5,Image 1,1,127,200242720,
0.000,,Vesicles Foci,5,Image 1,1,129,200242721,
0.000,,Vesicles Foci,5,Image 1,1,132,200242722,
0.000,,Vesicles Foci,5,Image 1,1,137,200242723,
0.000,,Vesicles Foci,5,Image 1,1,138,200242724,
0.000,,Vesicles Foci,5,Image 1,1,143,200242725,
0.000,,Vesicles Foci,5,Image 1,1,144,200242726,
0.000,,Vesicles Foci,5,Image 1,1,146,200242727,
0.000,,Vesicles Foci,5,Image 1,1,147,200242728,
0.000,,Vesicles Foci,5,Image 1,1,149,200242729,
0.000,,Vesicles Foci,5,Image 1,1,151,200242730,
0.000,,Vesicles Foci,5,Image 1,1,153,200242731,
0.000,,Vesicles Foci,5,Image 1,1,153,200242732,
0.000,,Vesicles Foci,5,Image 1,1,162,200242733,
0.016,,Vesicles Foci,5,Image 1,1,164,200242734,
0.000,,Vesicles Foci,5,Image 1,1,167,200242735,
0.000,,Vesicles Foci,5,Image 1,1,168,200242736,
0.000,,Vesicles Foci,5,Image 1,1,169,200242737,
0.000,,Vesicles Foci,5,Image 1,1,170,200242738,
0.000,,Vesicles Foci,5,Image 1,1,171,200242739,
0.000,,Vesicles Foci,5,Image 1,1,173,200242740,
0.000,,Vesicles Foci,5,Image 1,1,176,200242741,
0.000,,Vesicles Foci,5,Image 1,1,178,200242742,
0.000,,Vesicles Foci,5,Image 1,1,179,200242743,
0.000,,Vesicles Foci,5,Image 1,1,179,200242744,
0.000,,Vesicles Foci,5,Image 1,1,180,200242745,
0.000,,Vesicles Foci,5,Image 1,1,181,200242746,
0.000,,Vesicles Foci,5,Image 1,1,181,200242747,
0.000,,Vesicles Foci,5,Image 1,1,183,200242748,
0.000,,Vesicles Foci,5,Image 1,1,185,200242749,
0.000,,Vesicles Foci,5,Image 1,1,187,200242750,
0.000,,Vesicles Foci,5,Image 1,1,189,200242751,
0.000,,Vesicles Foci,5,Image 1,1,191,200242752,
0.000,,Vesicles Foci,5,Image 1,1,193,200242753,
0.000,,Vesicles Foci,5,Image 1,1,194,200242754,
0.000,,Vesicles Foci,5,Image 1,1,201,200242755,
0.000,,Vesicles Foci,5,Image 1,1,205,200242756,
0.000,,Vesicles Foci,5,Image 1,1,208,200242757,
0.000,,Vesicles Foci,5,Image 1,1,212,200242758,
0.000,,Vesicles Foci,5,Image 1,1,213,200242759,
0.000,,Vesicles Foci,5,Image 1,1,213,200242760,
0.000,,Vesicles Foci,5,Image 1,1,223,200242761,
0.000,,Vesicles Foci,5,Image 1,1,228,200242762,
0.000,,Vesicles Foci,5,Image 1,1,230,200242763,
0.000,,Vesicles Foci,5,Image 1,1,234,200242764,
0.000,,Vesicles Foci,5,Image 1,1,235,200242765,
0.000,,Vesicles Foci,5,Image 1,1,236,200242766,
0.000,,Vesicles Foci,5,Image 1,1,236,200242767,
0.000,,Vesicles Foci,5,Image 1,1,241,200242768,
0.000,,Vesicles Foci,5,Image 1,1,241,200242769,
0.000,,Vesicles Foci,5,Image 1,1,243,200242770,
0.000,,Vesicles Foci,5,Image 1,1,244,200242771,
0.000,,Vesicles Foci,5,Image 1,1,244,200242772,
0.000,,Vesicles Foci,5,Image 1,1,249,200242773,
0.000,,Vesicles Foci,5,Image 1,1,250,200242774,
0.000,,Vesicles Foci,5,Image 1,1,251,200242775,
0.000,,Vesicles Foci,5,Image 1,1,253,200242776,
0.000,,Vesicles Foci,5,Image 1,1,256,200242777,
0.000,,Vesicles Foci,5,Image 1,1,263,200242778,
0.000,,Vesicles Foci,5,Image 1,1,263,200242779,
0.000,,Vesicles Foci,5,Image 1,1,264,200242780,
0.000,,Vesicles Foci,5,Image 1,1,272,200242781,
0.000,,Vesicles Foci,5,Image 1,1,273,200242782,
0.000,,Vesicles Foci,5,Image 1,1,275,200242783,
0.000,,Vesicles Foci,5,Image 1,1,279,200242784,
0.000,,Vesicles Foci,5,Image 1,1,288,200242785,
0.000,,Vesicles Foci,5,Image 1,1,289,200242786,
0.000,,Vesicles Foci,5,Image 1,1,291,200242787,
0.000,,Vesicles Foci,5,Image 1,1,292,200242788,
0.000,,Vesicles Foci,5,Image 1,1,297,200242789,
0.000,,Vesicles Foci,5,Image 1,1,299,200242790,
0.000,,Vesicles Foci,5,Image 1,1,299,200242791,
0.000,,Vesicles Foci,5,Image 1,1,302,200242792,
0.000,,Vesicles Foci,5,Image 1,1,306,200242793,
0.000,,Vesicles Foci,5,Image 1,1,306,200242794,
0.000,,Vesicles Foci,5,Image 1,1,307,200242795,
0.000,,Vesicles Foci,5,Image 1,1,309,200242796,
0.000,,Vesicles Foci,5,Image 1,1,312,200242797,
0.000,,Vesicles Foci,5,Image 1,1,315,200242798,
0.000,,Vesicles Foci,5,Image 1,1,316,200242799,
0.000,,Vesicles Foci,5,Image 1,1,320,200242800,
0.000,,Vesicles Foci,5,Image 1,1,325,200242801,
0.000,,Vesicles Foci,5,Image 1,1,325,200242802,
0.000,,Vesicles Foci,5,Image 1,1,326,200242803,
0.000,,Vesicles Foci,5,Image 1,1,327,200242804,
0.000,,Vesicles Foci,5,Image 1,1,327,200242805,
0.000,,Vesicles Foci,5,Image 1,1,328,200242806,
0.000,,Vesicles Foci,5,Image 1,1,330,200242807,
0.000,,Vesicles Foci,5,Image 1,1,346,200242808,
0.000,,Vesicles Foci,5,Image 1,1,347,200242809,
0.000,,Vesicles Foci,5,Image 1,1,357,200242810,
0.000,,Vesicles Foci,5,Image 1,1,360,200242811,
0.000,,Vesicles Foci,5,Image 1,1,363,200242812,
0.000,,Vesicles Foci,5,Image 1,1,369,200242813,
0.000,,Vesicles Foci,5,Image 1,1,372,200242814,
0.000,,Vesicles Foci,5,Image 1,1,373,200242815,
0.000,,Vesicles Foci,5,Image 1,1,375,200242816,
0.000,,Vesicles Foci,5,Image 1,1,376,200242817,
0.000,,Vesicles Foci,5,Image 1,1,377,200242818,
0.000,,Vesicles Foci,5,Image 1,1,378,200242819,
0.000,,Vesicles Foci,5,Image 1,1,383,200242820,
0.000,,Vesicles Foci,5,Image 1,1,389,200242821,
0.000,,Vesicles Foci,5,Image 1,1,410,200242822,
0.000,,Vesicles Foci,5,Image 1,1,412,200242823,
0.000,,Vesicles Foci,5,Image 1,1,419,200242824,
0.000,,Vesicles Foci,5,Image 1,1,420,200242825,
0.000,,Vesicles Foci,5,Image 1,1,421,200242826,
0.000,,Vesicles Foci,5,Image 1,1,423,200242827,
0.000,,Vesicles Foci,5,Image 1,1,426,200242828,
0.016,,Vesicles Foci,5,Image 1,1,428,200242829,
0.000,,Vesicles Foci,5,Image 1,1,442,200242830,
0.000,,Vesicles Foci,5,Image 1,1,444,200242831,
0.000,,Vesicles Foci,5,Image 1,1,447,200242832,
0.000,,Vesicles Foci,5,Image 1,1,448,200242833,
0.000,,Vesicles Foci,5,Image 1,1,450,200242834,
0.000,,Vesicles Foci,5,Image 1,1,451,200242835,
0.000,,Vesicles Foci,5,Image 1,1,454,200242836,
0.000,,Vesicles Foci,5,Image 1,1,456,200242837,
0.000,,Vesicles Foci,5,Image 1,1,456,200242838,
0.000,,Vesicles Foci,5,Image 1,1,457,200242839,
0.016,,Vesicles Foci,5,Image 1,1,458,200242840,
0.000,,Vesicles Foci,5,Image 1,1,459,200242841,
0.000,,Vesicles Foci,5,Image 1,1,459,200242842,
0.000,,Vesicles Foci,5,Image 1,1,461,200242843,
0.000,,Vesicles Foci,5,Image 1,1,461,200242844,
0.000,,Vesicles Foci,5,Image 1,1,463,200242845,
0.000,,Vesicles Foci,5,Image 1,1,464,200242846,
0.000,,Vesicles Foci,5,Image 1,1,466,200242847,
0.000,,Vesicles Foci,5,Image 1,1,468,200242848,
0.000,,Vesicles Foci,5,Image 1,1,468,200242849,
0.000,,Vesicles Foci,5,Image 1,1,469,200242850,
0.000,,Vesicles Foci,5,Image 1,1,469,200242851,
0.000,,Vesicles Foci,5,Image 1,1,473,200242852,
0.000,,Vesicles Foci,5,Image 1,1,475,200242853,
0.000,,Vesicles Foci,5,Image 1,1,477,200242854,
0.000,,Vesicles Foci,5,Image 1,1,478,200242855,
0.000,,Vesicles Foci,5,Image 1,1,479,200242856,
