
Vesicles Foci Intensity Center Ch=4 Img=1
 ==================== 
Vesicles Foci Intensity Center,Unit,Category,Channel,Image,Time,CellID,ID,
0.077,,Vesicles Foci,4,Image 1,1,266,200242288,
0.084,,Vesicles Foci,4,Image 1,1,268,200242289,
0.058,,Vesicles Foci,4,Image 1,1,270,200242290,
0.055,,Vesicles Foci,4,Image 1,1,270,200242291,
0.016,,Vesicles Foci,4,Image 1,1,275,200242292,
0.045,,Vesicles Foci,4,Image 1,1,276,200242293,
0.081,,Vesicles Foci,4,Image 1,1,278,200242294,
0.045,,Vesicles Foci,4,Image 1,1,280,200242295,
0.108,,Vesicles Foci,4,Image 1,1,283,200242296,
0.091,,Vesicles Foci,4,Image 1,1,285,200242297,
0.042,,Vesicles Foci,4,Image 1,1,289,200242298,
0.085,,Vesicles Foci,4,Image 1,1,289,200242299,
0.042,,Vesicles Foci,4,Image 1,1,297,200242300,
0.171,,Vesicles Foci,4,Image 1,1,302,200242301,
0.036,,Vesicles Foci,4,Image 1,1,303,200242302,
0.100,,Vesicles Foci,4,Image 1,1,304,200242303,
0.064,,Vesicles Foci,4,Image 1,1,307,200242304,
0.016,,Vesicles Foci,4,Image 1,1,308,200242305,
0.087,,Vesicles Foci,4,Image 1,1,309,200242306,
0.134,,Vesicles Foci,4,Image 1,1,310,200242307,
0.042,,Vesicles Foci,4,Image 1,1,314,200242308,
0.016,,Vesicles Foci,4,Image 1,1,318,200242309,
0.042,,Vesicles Foci,4,Image 1,1,319,200242310,
0.016,,Vesicles Foci,4,Image 1,1,320,200242311,
0.102,,Vesicles Foci,4,Image 1,1,321,200242312,
0.116,,Vesicles Foci,4,Image 1,1,324,200242313,
0.124,,Vesicles Foci,4,Image 1,1,327,200242314,
0.080,,Vesicles Foci,4,Image 1,1,332,200242315,
0.080,,Vesicles Foci,4,Image 1,1,340,200242316,
0.046,,Vesicles Foci,4,Image 1,1,341,200242317,
0.042,,Vesicles Foci,4,Image 1,1,347,200242318,
0.045,,Vesicles Foci,4,Image 1,1,356,200242319,
0.084,,Vesicles Foci,4,Image 1,1,357,200242320,
0.079,,Vesicles Foci,4,Image 1,1,358,200242321,
0.000,,Vesicles Foci,4,Image 1,1,359,200242322,
0.023,,Vesicles Foci,4,Image 1,1,361,200242323,
0.097,,Vesicles Foci,4,Image 1,1,362,200242324,
0.045,,Vesicles Foci,4,Image 1,1,364,200242325,
0.051,,Vesicles Foci,4,Image 1,1,370,200242326,
0.036,,Vesicles Foci,4,Image 1,1,375,200242327,
0.126,,Vesicles Foci,4,Image 1,1,385,200242328,
0.064,,Vesicles Foci,4,Image 1,1,388,200242329,
0.051,,Vesicles Foci,4,Image 1,1,391,200242330,
0.084,,Vesicles Foci,4,Image 1,1,400,200242331,
0.126,,Vesicles Foci,4,Image 1,1,403,200242332,
0.091,,Vesicles Foci,4,Image 1,1,409,200242333,
0.016,,Vesicles Foci,4,Image 1,1,410,200242334,
