
Vesicles Foci Intensity Center Ch=5 Img=1
 ==================== 
Vesicles Foci Intensity Center,Unit,Category,Channel,Image,Time,CellID,ID,
0.000,,Vesicles Foci,5,Image 1,1,14,200242184,
0.000,,Vesicles Foci,5,Image 1,1,16,200242185,
0.000,,Vesicles Foci,5,Image 1,1,16,200242186,
0.000,,Vesicles Foci,5,Image 1,1,18,200242187,
0.000,,Vesicles Foci,5,Image 1,1,18,200242188,
0.000,,Vesicles Foci,5,Image 1,1,28,200242189,
0.000,,Vesicles Foci,5,Image 1,1,29,200242190,
0.000,,Vesicles Foci,5,Image 1,1,34,200242191,
0.000,,Vesicles Foci,5,Image 1,1,36,200242192,
0.000,,Vesicles Foci,5,Image 1,1,38,200242193,
0.000,,Vesicles Foci,5,Image 1,1,38,200242194,
0.000,,Vesicles Foci,5,Image 1,1,40,200242195,
0.000,,Vesicles Foci,5,Image 1,1,42,200242196,
0.000,,Vesicles Foci,5,Image 1,1,43,200242197,
0.000,,Vesicles Foci,5,Image 1,1,46,200242198,
0.000,,Vesicles Foci,5,Image 1,1,46,200242199,
0.000,,Vesicles Foci,5,Image 1,1,49,200242200,
0.000,,Vesicles Foci,5,Image 1,1,52,200242201,
0.000,,Vesicles Foci,5,Image 1,1,52,200242202,
0.000,,Vesicles Foci,5,Image 1,1,54,200242203,
0.000,,Vesicles Foci,5,Image 1,1,56,200242204,
0.000,,Vesicles Foci,5,Image 1,1,58,200242205,
0.000,,Vesicles Foci,5,Image 1,1,60,200242206,
0.000,,Vesicles Foci,5,Image 1,1,62,200242207,
0.000,,Vesicles Foci,5,Image 1,1,63,200242208,
0.000,,Vesicles Foci,5,Image 1,1,75,200242209,
0.000,,Vesicles Foci,5,Image 1,1,75,200242210,
0.000,,Vesicles Foci,5,Image 1,1,79,200242211,
0.000,,Vesicles Foci,5,Image 1,1,80,200242212,
0.000,,Vesicles Foci,5,Image 1,1,81,200242213,
0.000,,Vesicles Foci,5,Image 1,1,83,200242214,
0.000,,Vesicles Foci,5,Image 1,1,83,200242215,
0.000,,Vesicles Foci,5,Image 1,1,84,200242216,
0.000,,Vesicles Foci,5,Image 1,1,86,200242217,
0.000,,Vesicles Foci,5,Image 1,1,87,200242218,
0.000,,Vesicles Foci,5,Image 1,1,88,200242219,
0.000,,Vesicles Foci,5,Image 1,1,99,200242220,
0.000,,Vesicles Foci,5,Image 1,1,99,200242221,
0.000,,Vesicles Foci,5,Image 1,1,105,200242222,
0.000,,Vesicles Foci,5,Image 1,1,106,200242223,
0.000,,Vesicles Foci,5,Image 1,1,109,200242224,
0.000,,Vesicles Foci,5,Image 1,1,112,200242225,
0.000,,Vesicles Foci,5,Image 1,1,115,200242226,
0.000,,Vesicles Foci,5,Image 1,1,119,200242227,
0.000,,Vesicles Foci,5,Image 1,1,120,200242228,
0.000,,Vesicles Foci,5,Image 1,1,121,200242229,
0.000,,Vesicles Foci,5,Image 1,1,121,200242230,
0.000,,Vesicles Foci,5,Image 1,1,123,200242231,
0.000,,Vesicles Foci,5,Image 1,1,124,200242232,
0.000,,Vesicles Foci,5,Image 1,1,124,200242233,
0.000,,Vesicles Foci,5,Image 1,1,125,200242234,
0.000,,Vesicles Foci,5,Image 1,1,125,200242235,
0.000,,Vesicles Foci,5,Image 1,1,127,200242236,
0.000,,Vesicles Foci,5,Image 1,1,128,200242237,
0.000,,Vesicles Foci,5,Image 1,1,135,200242238,
0.000,,Vesicles Foci,5,Image 1,1,140,200242239,
0.000,,Vesicles Foci,5,Image 1,1,141,200242240,
0.000,,Vesicles Foci,5,Image 1,1,143,200242241,
0.000,,Vesicles Foci,5,Image 1,1,143,200242242,
0.000,,Vesicles Foci,5,Image 1,1,146,200242243,
0.000,,Vesicles Foci,5,Image 1,1,148,200242244,
0.000,,Vesicles Foci,5,Image 1,1,153,200242245,
0.000,,Vesicles Foci,5,Image 1,1,154,200242246,
0.000,,Vesicles Foci,5,Image 1,1,155,200242247,
0.000,,Vesicles Foci,5,Image 1,1,164,200242248,
0.000,,Vesicles Foci,5,Image 1,1,170,200242249,
0.000,,Vesicles Foci,5,Image 1,1,171,200242250,
0.000,,Vesicles Foci,5,Image 1,1,173,200242251,
0.000,,Vesicles Foci,5,Image 1,1,180,200242252,
0.000,,Vesicles Foci,5,Image 1,1,183,200242253,
0.000,,Vesicles Foci,5,Image 1,1,188,200242254,
0.000,,Vesicles Foci,5,Image 1,1,190,200242255,
0.000,,Vesicles Foci,5,Image 1,1,193,200242256,
0.000,,Vesicles Foci,5,Image 1,1,199,200242257,
0.000,,Vesicles Foci,5,Image 1,1,199,200242258,
0.000,,Vesicles Foci,5,Image 1,1,206,200242259,
