
Cell Cytoplasm Intensity Mean Ch=3 Img=1
 ==================== 
Cell Cytoplasm Intensity Mean,Unit,Category,Channel,Image,Time,ID,
101.278,,Cell,3,Image 1,1,148,
315.860,,Cell,3,Image 1,1,149,
136.642,,Cell,3,Image 1,1,150,
60.053,,Cell,3,Image 1,1,151,
153.629,,Cell,3,Image 1,1,152,
102.886,,Cell,3,Image 1,1,153,
100.042,,Cell,3,Image 1,1,154,
93.717,,Cell,3,Image 1,1,155,
223.365,,Cell,3,Image 1,1,156,
107.329,,Cell,3,Image 1,1,157,
354.188,,Cell,3,Image 1,1,158,
81.464,,Cell,3,Image 1,1,159,
165.949,,Cell,3,Image 1,1,160,
231.725,,Cell,3,Image 1,1,161,
72.725,,Cell,3,Image 1,1,162,
98.652,,Cell,3,Image 1,1,163,
82.229,,Cell,3,Image 1,1,164,
93.251,,Cell,3,Image 1,1,165,
65.606,,Cell,3,Image 1,1,166,
31.458,,Cell,3,Image 1,1,167,
172.038,,Cell,3,Image 1,1,168,
46.341,,Cell,3,Image 1,1,169,
76.270,,Cell,3,Image 1,1,170,
161.146,,Cell,3,Image 1,1,171,
114.179,,Cell,3,Image 1,1,172,
198.870,,Cell,3,Image 1,1,173,
136.652,,Cell,3,Image 1,1,174,
40.411,,Cell,3,Image 1,1,175,
120.292,,Cell,3,Image 1,1,176,
124.808,,Cell,3,Image 1,1,177,
95.562,,Cell,3,Image 1,1,178,
151.568,,Cell,3,Image 1,1,179,
126.983,,Cell,3,Image 1,1,180,
60.801,,Cell,3,Image 1,1,181,
67.159,,Cell,3,Image 1,1,182,
93.820,,Cell,3,Image 1,1,183,
98.343,,Cell,3,Image 1,1,184,
121.202,,Cell,3,Image 1,1,185,
53.387,,Cell,3,Image 1,1,186,
254.023,,Cell,3,Image 1,1,187,
86.809,,Cell,3,Image 1,1,188,
50.311,,Cell,3,Image 1,1,189,
70.412,,Cell,3,Image 1,1,190,
114.649,,Cell,3,Image 1,1,191,
114.422,,Cell,3,Image 1,1,192,
126.518,,Cell,3,Image 1,1,193,
337.292,,Cell,3,Image 1,1,194,
303.015,,Cell,3,Image 1,1,195,
408.984,,Cell,3,Image 1,1,196,
91.878,,Cell,3,Image 1,1,197,
81.298,,Cell,3,Image 1,1,198,
161.915,,Cell,3,Image 1,1,199,
92.479,,Cell,3,Image 1,1,200,
136.752,,Cell,3,Image 1,1,201,
245.785,,Cell,3,Image 1,1,202,
126.798,,Cell,3,Image 1,1,203,
177.876,,Cell,3,Image 1,1,204,
129.119,,Cell,3,Image 1,1,205,
147.447,,Cell,3,Image 1,1,206,
119.190,,Cell,3,Image 1,1,207,
137.471,,Cell,3,Image 1,1,208,
131.741,,Cell,3,Image 1,1,209,
107.503,,Cell,3,Image 1,1,210,
69.112,,Cell,3,Image 1,1,211,
287.907,,Cell,3,Image 1,1,212,
325.134,,Cell,3,Image 1,1,213,
97.913,,Cell,3,Image 1,1,214,
128.415,,Cell,3,Image 1,1,215,
165.416,,Cell,3,Image 1,1,216,
116.993,,Cell,3,Image 1,1,217,
197.747,,Cell,3,Image 1,1,218,
127.996,,Cell,3,Image 1,1,219,
146.027,,Cell,3,Image 1,1,220,
138.191,,Cell,3,Image 1,1,221,
196.382,,Cell,3,Image 1,1,222,
182.194,,Cell,3,Image 1,1,223,
163.279,,Cell,3,Image 1,1,224,
90.591,,Cell,3,Image 1,1,225,
96.675,,Cell,3,Image 1,1,226,
234.011,,Cell,3,Image 1,1,227,
139.034,,Cell,3,Image 1,1,228,
127.669,,Cell,3,Image 1,1,229,
191.275,,Cell,3,Image 1,1,230,
124.109,,Cell,3,Image 1,1,231,
199.207,,Cell,3,Image 1,1,232,
123.256,,Cell,3,Image 1,1,233,
134.983,,Cell,3,Image 1,1,234,
82.117,,Cell,3,Image 1,1,235,
96.929,,Cell,3,Image 1,1,236,
185.219,,Cell,3,Image 1,1,237,
157.678,,Cell,3,Image 1,1,238,
119.570,,Cell,3,Image 1,1,239,
103.559,,Cell,3,Image 1,1,240,
108.788,,Cell,3,Image 1,1,241,
207.961,,Cell,3,Image 1,1,242,
308.806,,Cell,3,Image 1,1,243,
612.701,,Cell,3,Image 1,1,244,
306.295,,Cell,3,Image 1,1,245,
426.031,,Cell,3,Image 1,1,246,
107.677,,Cell,3,Image 1,1,247,
700.026,,Cell,3,Image 1,1,248,
89.895,,Cell,3,Image 1,1,249,
109.135,,Cell,3,Image 1,1,250,
164.019,,Cell,3,Image 1,1,251,
695.681,,Cell,3,Image 1,1,252,
168.552,,Cell,3,Image 1,1,253,
160.005,,Cell,3,Image 1,1,254,
87.314,,Cell,3,Image 1,1,255,
263.187,,Cell,3,Image 1,1,256,
149.722,,Cell,3,Image 1,1,257,
132.678,,Cell,3,Image 1,1,258,
149.802,,Cell,3,Image 1,1,259,
159.163,,Cell,3,Image 1,1,260,
233.032,,Cell,3,Image 1,1,261,
179.130,,Cell,3,Image 1,1,262,
123.875,,Cell,3,Image 1,1,263,
72.904,,Cell,3,Image 1,1,264,
166.747,,Cell,3,Image 1,1,265,
107.781,,Cell,3,Image 1,1,266,
131.908,,Cell,3,Image 1,1,267,
103.205,,Cell,3,Image 1,1,268,
183.012,,Cell,3,Image 1,1,269,
192.291,,Cell,3,Image 1,1,270,
460.571,,Cell,3,Image 1,1,271,
176.994,,Cell,3,Image 1,1,272,
109.724,,Cell,3,Image 1,1,273,
202.731,,Cell,3,Image 1,1,274,
100.017,,Cell,3,Image 1,1,275,
128.348,,Cell,3,Image 1,1,276,
119.206,,Cell,3,Image 1,1,277,
137.778,,Cell,3,Image 1,1,278,
147.166,,Cell,3,Image 1,1,279,
125.132,,Cell,3,Image 1,1,280,
93.535,,Cell,3,Image 1,1,281,
156.851,,Cell,3,Image 1,1,282,
116.437,,Cell,3,Image 1,1,283,
125.779,,Cell,3,Image 1,1,284,
110.194,,Cell,3,Image 1,1,285,
106.110,,Cell,3,Image 1,1,286,
95.917,,Cell,3,Image 1,1,287,
124.904,,Cell,3,Image 1,1,288,
166.579,,Cell,3,Image 1,1,289,
123.201,,Cell,3,Image 1,1,290,
182.476,,Cell,3,Image 1,1,291,
159.017,,Cell,3,Image 1,1,292,
147.200,,Cell,3,Image 1,1,293,
189.994,,Cell,3,Image 1,1,294,
143.487,,Cell,3,Image 1,1,295,
332.376,,Cell,3,Image 1,1,296,
187.446,,Cell,3,Image 1,1,297,
154.728,,Cell,3,Image 1,1,298,
91.542,,Cell,3,Image 1,1,299,
109.309,,Cell,3,Image 1,1,300,
105.047,,Cell,3,Image 1,1,301,
107.939,,Cell,3,Image 1,1,302,
118.265,,Cell,3,Image 1,1,303,
72.953,,Cell,3,Image 1,1,304,
106.524,,Cell,3,Image 1,1,305,
181.849,,Cell,3,Image 1,1,306,
132.124,,Cell,3,Image 1,1,307,
139.694,,Cell,3,Image 1,1,308,
602.772,,Cell,3,Image 1,1,309,
88.358,,Cell,3,Image 1,1,310,
143.095,,Cell,3,Image 1,1,311,
95.153,,Cell,3,Image 1,1,312,
100.466,,Cell,3,Image 1,1,313,
61.511,,Cell,3,Image 1,1,314,
94.449,,Cell,3,Image 1,1,315,
386.152,,Cell,3,Image 1,1,316,
207.783,,Cell,3,Image 1,1,317,
120.681,,Cell,3,Image 1,1,318,
125.195,,Cell,3,Image 1,1,319,
120.339,,Cell,3,Image 1,1,320,
160.971,,Cell,3,Image 1,1,321,
145.324,,Cell,3,Image 1,1,322,
112.174,,Cell,3,Image 1,1,323,
148.568,,Cell,3,Image 1,1,324,
222.436,,Cell,3,Image 1,1,325,
238.109,,Cell,3,Image 1,1,326,
87.383,,Cell,3,Image 1,1,327,
315.745,,Cell,3,Image 1,1,328,
263.190,,Cell,3,Image 1,1,329,
147.746,,Cell,3,Image 1,1,330,
165.229,,Cell,3,Image 1,1,331,
180.019,,Cell,3,Image 1,1,332,
97.249,,Cell,3,Image 1,1,333,
113.275,,Cell,3,Image 1,1,334,
218.024,,Cell,3,Image 1,1,335,
121.609,,Cell,3,Image 1,1,336,
469.044,,Cell,3,Image 1,1,337,
134.110,,Cell,3,Image 1,1,338,
59.250,,Cell,3,Image 1,1,339,
158.170,,Cell,3,Image 1,1,340,
119.979,,Cell,3,Image 1,1,341,
113.548,,Cell,3,Image 1,1,342,
121.787,,Cell,3,Image 1,1,343,
103.419,,Cell,3,Image 1,1,344,
130.068,,Cell,3,Image 1,1,345,
110.958,,Cell,3,Image 1,1,346,
151.262,,Cell,3,Image 1,1,347,
49.940,,Cell,3,Image 1,1,348,
122.761,,Cell,3,Image 1,1,349,
163.747,,Cell,3,Image 1,1,350,
154.012,,Cell,3,Image 1,1,351,
113.163,,Cell,3,Image 1,1,352,
94.586,,Cell,3,Image 1,1,353,
133.102,,Cell,3,Image 1,1,354,
237.404,,Cell,3,Image 1,1,355,
117.610,,Cell,3,Image 1,1,356,
187.895,,Cell,3,Image 1,1,357,
115.455,,Cell,3,Image 1,1,358,
290.395,,Cell,3,Image 1,1,359,
61.423,,Cell,3,Image 1,1,360,
110.097,,Cell,3,Image 1,1,361,
101.242,,Cell,3,Image 1,1,362,
226.270,,Cell,3,Image 1,1,363,
140.596,,Cell,3,Image 1,1,364,
78.804,,Cell,3,Image 1,1,365,
79.307,,Cell,3,Image 1,1,366,
81.671,,Cell,3,Image 1,1,367,
100.366,,Cell,3,Image 1,1,368,
182.759,,Cell,3,Image 1,1,369,
114.562,,Cell,3,Image 1,1,370,
425.745,,Cell,3,Image 1,1,371,
75.426,,Cell,3,Image 1,1,372,
248.203,,Cell,3,Image 1,1,373,
118.089,,Cell,3,Image 1,1,374,
56.394,,Cell,3,Image 1,1,375,
91.336,,Cell,3,Image 1,1,376,
68.152,,Cell,3,Image 1,1,377,
58.222,,Cell,3,Image 1,1,378,
68.075,,Cell,3,Image 1,1,379,
140.590,,Cell,3,Image 1,1,380,
125.945,,Cell,3,Image 1,1,381,
49.033,,Cell,3,Image 1,1,382,
54.142,,Cell,3,Image 1,1,383,
279.880,,Cell,3,Image 1,1,384,
81.899,,Cell,3,Image 1,1,385,
78.742,,Cell,3,Image 1,1,386,
72.716,,Cell,3,Image 1,1,387,
133.677,,Cell,3,Image 1,1,388,
108.853,,Cell,3,Image 1,1,389,
120.676,,Cell,3,Image 1,1,390,
119.004,,Cell,3,Image 1,1,391,
109.519,,Cell,3,Image 1,1,392,
61.909,,Cell,3,Image 1,1,393,
114.036,,Cell,3,Image 1,1,394,
88.806,,Cell,3,Image 1,1,395,
95.087,,Cell,3,Image 1,1,396,
162.476,,Cell,3,Image 1,1,397,
77.815,,Cell,3,Image 1,1,398,
197.527,,Cell,3,Image 1,1,399,
134.347,,Cell,3,Image 1,1,400,
138.637,,Cell,3,Image 1,1,401,
126.063,,Cell,3,Image 1,1,402,
148.866,,Cell,3,Image 1,1,403,
168.235,,Cell,3,Image 1,1,404,
144.998,,Cell,3,Image 1,1,405,
424.561,,Cell,3,Image 1,1,406,
103.193,,Cell,3,Image 1,1,407,
78.213,,Cell,3,Image 1,1,408,
130.763,,Cell,3,Image 1,1,409,
95.599,,Cell,3,Image 1,1,410,
212.389,,Cell,3,Image 1,1,411,
114.117,,Cell,3,Image 1,1,412,
205.428,,Cell,3,Image 1,1,413,
88.472,,Cell,3,Image 1,1,414,
